AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1128801,11288,DEC,Decatur Airport,"Decatur, IL",41,United States,US,Illinois,IL,17.0,31288,"Decatur, IL",41,39.0,N,50.0,3.0,39.83416667,88.0,W,52.0,7.0,-88.86861111,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1128901,11289,DEH,Decorah Municipal,"Decorah, IA",61,United States,US,Iowa,IA,19.0,31289,"Decorah, IA",61,43.0,N,16.0,29.0,43.27472222,91.0,W,44.0,20.0,-91.73888889,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1129201,11292,DEN,Stapleton International,"Denver, CO",82,United States,US,Colorado,CO,8.0,30325,"Denver, CO",82,39.0,N,46.0,28.0,39.77444444,104.0,W,52.0,47.0,-104.87972222,1/1/1950 12:00:00 AM,8/31/1993 12:00:00 AM,0,0
1129501,11295,DET,Detroit City,"Detroit, MI",43,United States,US,Michigan,MI,26.0,31295,"Detroit, MI",43,42.0,N,24.0,24.0,42.40666667,83.0,W,0.0,30.0,-83.00833333,1/1/1950 12:00:00 AM,6/30/2003 12:00:00 AM,0,0
1129701,11297,DFI,Defiance Memorial,"Defiance, OH",44,United States,US,Ohio,OH,39.0,31297,"Defiance, OH",44,41.0,N,20.0,14.0,41.33722222,84.0,W,25.0,44.0,-84.42888889,9/1/1981 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1129801,11298,DFW,Dallas Fort Worth Regional,"Dallas/Fort Worth, TX",74,United States,US,Texas,TX,48.0,30194,"Dallas/Fort Worth, TX",74,32.0,N,53.0,40.0,32.89444444,97.0,W,1.0,47.0,-97.02972222,1/1/1950 12:00:00 AM,12/31/1989 12:00:00 AM,0,0
1129901,11299,DGB,Danger Bay Airport,"Danger Bay, AK",1,United States,US,Alaska,AK,2.0,31299,"Danger Bay, AK",1,58.0,N,8.0,0.0,58.13333333,152.0,W,33.0,0.0,-152.55,3/1/1992 12:00:00 AM,,0,1
1130301,11303,DGW,Converse County,"Douglas, WY",88,United States,US,Wyoming,WY,56.0,31303,"Douglas, WY",88,42.0,N,47.0,50.0,42.79722222,105.0,W,23.0,10.0,-105.38611111,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1130801,11308,DHN,Dothan Regional,"Dothan, AL",51,United States,US,Alabama,AL,1.0,31308,"Dothan, AL",51,31.0,N,19.0,12.0,31.32,85.0,W,26.0,54.0,-85.44833333,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1130901,11309,DHT,Dalhart Municipal,"Dalhart, TX",74,United States,US,Texas,TX,48.0,31309,"Dalhart, TX",74,36.0,N,1.0,21.0,36.0225,102.0,W,32.0,50.0,-102.54722222,7/1/2008 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1131501,11315,DIK,Dickinson Municipal,"Dickinson, ND",66,United States,US,North Dakota,ND,38.0,31315,"Dickinson, ND",66,46.0,N,47.0,48.0,46.79666667,102.0,W,47.0,47.0,-102.79638889,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1131701,11317,DIO,Diomede Heliport,"Diomede Island, AK",1,United States,US,Alaska,AK,2.0,31317,"Diomede Island, AK",1,65.0,N,45.0,0.0,65.75,168.0,W,57.0,0.0,-168.95,6/1/1986 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1132701,11327,DJN,Delta Junction Airport,"Delta Junction, AK",1,United States,US,Alaska,AK,2.0,31327,"Delta Junction, AK",1,64.0,N,3.0,2.0,64.05055556,145.0,W,43.0,2.0,-145.71722222,1/1/1995 12:00:00 AM,5/31/2015 12:00:00 AM,0,0
1133101,11331,DKK,Chautauqua County/Dunkirk,"Dunkirk, NY",22,United States,US,New York,NY,36.0,31331,"Dunkirk, NY",22,42.0,N,29.0,36.0,42.49333333,79.0,W,16.0,19.0,-79.27194444,3/1/2002 12:00:00 AM,3/31/2014 12:00:00 AM,0,0
1133501,11335,DLF,Laughlin AFB,"Del Rio, TX",74,United States,US,Texas,TX,48.0,31335,"Del Rio, TX",74,29.0,N,21.0,35.0,29.35972222,100.0,W,46.0,38.0,-100.77722222,9/1/1982 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1133601,11336,DLG,Dillingham Airport,"Dillingham, AK",1,United States,US,Alaska,AK,2.0,31336,"Dillingham, AK",1,59.0,N,2.0,30.0,59.04166667,158.0,W,30.0,24.0,-158.50666667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1133701,11337,DLH,Duluth International,"Duluth, MN",63,United States,US,Minnesota,MN,27.0,31337,"Duluth, MN",63,46.0,N,50.0,33.0,46.8425,92.0,W,11.0,25.0,-92.19027778,1/1/1950 12:00:00 AM,11/30/1995 12:00:00 AM,0,0
1133901,11339,DLL,Dillon County,"Dillon, SC",37,United States,US,South Carolina,SC,45.0,31339,"Dillon, SC",37,34.0,N,26.0,57.0,34.44916667,79.0,W,22.0,7.0,-79.36861111,3/1/1996 12:00:00 AM,,0,1
1134101,11341,DLO,Dolomi Airport,"Dolomi, AK",1,United States,US,Alaska,AK,2.0,31341,"Dolomi, AK",1,55.0,N,7.0,20.0,55.12222222,132.0,W,3.0,0.0,-132.05,12/1/1987 12:00:00 AM,,0,1
